Health Law Colloquium,12/5/2006,7:30 AM,12/5/2006,1:30 PM,x,31
"Special HealthLaw Program - ""Scales of Injustice""",10/9/2006,11:30 AM,10/9/2006,2:00 PM,x,31
Civitas ChildLaw Center - Education Conference ,10/13/2006,8:30 AM,10/13/2006,4:30 PM,x,31
Locker and CTA U-Pass Distribution,8/21/2006,9:00 AM,8/21/2006,6:00 PM,x,31
Locker and CTA U-Pass Distribution,8/22/2006,9:00 AM,8/22/2006,6:00 PM,x,31
Student Activities Fair,9/6/2006,4:00 PM,9/6/2006,6:30 PM,x,31
Meet the Public Service Employers Reception,10/11/2006,5:00 PM,10/11/2006,7:00 PM,x,31
First Year Dinner - Section 3,9/7/2006,5:30 PM,9/7/2006,7:00 PM,x,31
First Year Dinner - Part-Time/Evening,9/13/2006,5:30 PM,9/13/2006,7:00 PM,x,31
First Year Dinner - Section 1,9/19/2006,5:30 PM,9/19/2006,7:00 PM,x,31
First Year Dinner - Section 2,9/26/2006,5:30 PM,9/26/2006,7:00 PM,x,31
Meeet the Employers Reception,8/23/2006,5:30 PM,8/23/2006,7:30 PM,x,31
Staying Best Friends,8/25/2006,6:00 PM,8/25/2006,7:30 PM,x,31
Consumer Law Review Conference (Tentative),2/9/2007,7:00 AM,2/9/2007,9:00 PM,x,31
"Lecture by Mark Sargent| Dean| Villanova Law School - ""A Catholic Critique of Law and Economics""",10/24/2006,7:00 PM,10/24/2006,9:00 PM,x,31
"Induction Ceremony of Gregory Shaffer - Wing Tat Lee Lecture by Bryant Garth ""Rebuilding International Law After the 9/11 Assault""",9/11/2006,5:00 PM,9/11/2006,x,x,31
Corboy Lecture - Chief Justice Mary Ann McMorrow ,3/27/2007,6:00 PM,3/27/2007,x,x,31
PILS AUCTION,2/22/2007,8:00 PM,2/22/2007,x,x,31
LAW SCHOOL RED MASS,10/1/2006,x,10/1/2006,x,x,31
Civitas ChildLaw Center - Education Conference ,10/12/2006,x,10/12/2006,x,x,31
Catholic Lawyers Guild Trivia Night ,2/8/2007,x,2/8/2007,x,x,31
Discover Loyola ,4/20/2007,9:00 AM,4/20/2007,1:00 PM,x,41
Students* Perspective on Interviewing|Callbacks|& Offers,9/5/2006,12:00 PM,9/5/2006,1:00 PM,x,41
Public Service Job Search,10/10/2006,12:00 PM,10/10/2006,1:00 PM,x,41
"Irina Kireeva| O*Connor and Company - ""Geographical Indications - Current Issues in International and Intellectual Property Law"" - Rubloff   ",10/30/2006,12:00 PM,10/30/2006,1:00 PM,x,41
Job Search Strategies (Includes OCI Orientation) ,8/21/2006,12:00 PM,8/21/2006,1:30 PM,x,41
Judicial Clerkship Program- Rubloff Reception,8/22/2006,12:00 PM,8/22/2006,1:30 PM,x,41
Public Interest Convocation Day Division,2/20/2007,12:00 PM,2/20/2007,2:00 PM,x,41
Discover Loyola - Rubloff| Lunch-Kasbeer Hall ,2/24/2007,1:00 PM,2/24/2007,2:30 PM,x,41
Discover Loyola - Rubloff| Lunch-Kasbeer Hall ,3/24/2007,2:00 PM,3/24/2007,3:30 PM,x,41
Race & Law Symposium ,2/24/2007,2:00 PM,2/24/2007,4:30 PM,x,41
"PILR Conference ""Juvenile Sex Offender Registration: Problem or Solution?"" ",1/26/2007,8:00 AM,1/26/2007,6:00 PM,x,41
Health Law Society Meeting  -  Rubloff Reception,9/5/2006,4:30 PM,9/5/2006,6:00 PM,x,41
Health Law Society Speaker Series:  Pursuing A Career in Health Law - Rubloff Reception,9/26/2006,4:30 PM,9/26/2006,6:30 PM,x,41
Job Search Strategies (Includes OCI Orientation) ,8/17/2006,5:15 PM,8/17/2006,6:45 PM,x,41
Public Interest Convocation Evening Division,2/21/2007,5:30 PM,2/21/2007,7:00 PM,x,41
Discover Loyola ,4/16/2007,5:30 PM,4/16/2007,9:00 PM,x,41
Discover Loyola ,3/16/2007,6:30 PM,3/16/2007,10:00 PM,x,41
LAW SCHOOL FAMILY DAY  and Reception Area,10/22/2006,1:00 PM,10/22/2006,x,x,41
Shakespeare & the Law - The Merchant of Venice ,9/18/2006,5:00 PM,9/18/2006,x,x,41
Law & Literature ,3/26/2007,5:00 PM,3/26/2007,x,x,41
Study Abroad Information Session- Rubloff Reception,10/11/2006,9:00 PM,10/11/2006,x,x,41
Study Abroad Information Session- Rubloff Reception,11/8/2006,9:00 PM,11/8/2006,x,x,41
SBA*s No Talent Show ,11/9/2006,9:00 PM,11/9/2006,x,x,41
Dean*s Town Hall-  Rubloff Reception  and ,10/3/2006,1:00 PM,10/3/2006,5:30 PM,x,41
SBA Annual Boat Cruise,8/25/2006,7:30 PM,8/25/2006,11:00 PM,Departs from the South Side of Navy Pier,x
